#{"t_start": 1764906598.057386, "env_id": "None"}
r,l,t,success,semi_success
-45.481737,289,2.738486,False,False
-46.226481,291,4.16508,False,False
-46.42912,291,5.916339,False,False
-46.21964,292,7.534037,False,False
-46.374506,291,8.85827,False,False
-46.25068,291,10.275698,False,False
-46.016174,295,11.599269,False,False
-45.917517,294,12.983693,False,False
-45.109726,293,14.769607,False,False
-45.643098,290,16.139703,False,False
-46.499873,290,17.486646,False,False
-46.528217,291,18.833365,False,False
-45.844881,292,20.169102,False,False
-45.743191,291,21.825034,False,False
-46.322628,290,23.219346,False,False
-46.4676,290,24.566596,False,False
-46.277619,293,26.07622,False,False
-46.199762,293,27.705122,False,False
-46.31242,292,29.441658,False,False
-46.2634,292,31.234526,False,False
-45.758158,290,32.800915,False,False
-45.827552,291,34.730801,False,False
-46.493994,291,36.193761,False,False
-45.897667,291,37.628214,False,False
-45.651433,292,39.425538,False,False
-46.101462,288,41.298884,False,False
-95.641649,294,42.714994,False,False
-46.339264,292,44.16441,False,False
-46.418772,291,46.127381,False,False
-45.959298,291,47.560996,False,False
-46.03533,290,49.005152,False,False
-46.251127,292,50.837552,False,False
-45.603206,293,52.347781,False,False
-46.362173,292,54.075596,False,False
-46.48243,290,56.032104,False,False
-45.844486,292,57.888903,False,False
-46.345516,291,59.93331,False,False
-45.628483,293,61.737617,False,False
-46.429905,290,63.501837,False,False
-45.445739,293,64.964853,False,False
-46.220067,293,66.712007,False,False
-46.246493,291,68.365933,False,False
-46.30393,293,69.914067,False,False
-45.506207,291,71.531238,False,False
-96.085386,291,72.838734,False,False
-45.652526,293,74.470418,False,False
-46.003945,292,75.808525,False,False
-46.109917,290,77.452592,False,False
-45.855242,293,78.808648,False,False
-45.82687,295,80.369101,False,False
-45.887817,290,81.750943,False,False
-45.988131,292,83.281941,False,False
-46.221199,293,85.255949,False,False
-96.199271,292,86.756942,False,False
-45.696363,294,88.295161,False,False
-46.566191,290,89.715858,False,False
-46.114665,292,91.172146,False,False
-46.409291,292,92.524669,False,False
-45.896452,292,94.062151,False,False
-46.151447,291,95.443224,False,False
-46.153016,290,96.969492,False,False
-46.041632,291,98.268995,False,False
-45.966578,293,99.780577,False,False
-46.272897,292,101.276241,False,False
-46.192639,291,102.580539,False,False
-46.428942,289,103.986309,False,False
-46.161838,292,105.491231,False,False
-95.949185,292,106.926154,False,False
-46.23393,293,108.601912,False,False
-46.07727,293,110.193351,False,False
-45.647209,289,111.739373,False,False
-45.661989,291,113.204008,False,False
-96.031952,293,114.590117,False,False
-96.35411,289,116.440396,False,False
-46.851813,288,117.765813,False,False
-46.225186,292,119.092758,False,False
-45.861141,292,120.615629,False,False
-46.037496,295,121.960099,False,False
-45.909251,291,123.312742,False,False
-96.527572,289,124.826376,False,False
-46.648062,289,126.205948,False,False
-45.621361,293,127.767161,False,False
-45.677658,296,129.129433,False,False
-46.104945,293,130.698062,False,False
-96.51224,289,132.351446,False,False
-45.393286,294,133.924541,False,False
-46.250697,291,135.769305,False,False
-46.594451,289,137.24572,False,False
-46.001831,291,138.652639,False,False
-46.607689,291,140.066083,False,False
-46.072703,295,141.669146,False,False
-46.387931,292,143.046903,False,False
-46.15346,294,144.367667,False,False
-46.330137,291,145.67198,False,False
-45.623135,290,147.143972,False,False
-46.010455,293,148.608468,False,False
-46.179789,292,149.977656,False,False
-46.157945,294,151.548645,False,False
