#{"t_start": 1764916191.739618, "env_id": "None"}
r,l,t,success,semi_success
236.735028,255,0.806156,False,False
246.893805,266,0.944762,False,False
247.053863,266,1.082911,False,False
266.821984,287,1.246316,False,False
297.988214,323,1.43721,False,True
318.583817,348,1.611771,False,True
305.040962,332,1.774215,False,True
242.502109,260,1.900785,False,False
252.802946,271,2.045474,False,False
261.572992,279,2.185516,False,True
268.39744,289,2.328604,False,True
296.449367,318,2.491976,False,True
224.247947,241,2.615779,False,False
267.743072,286,2.754649,False,False
240.409406,258,6.841926,False,False
234.518525,252,7.012641,False,False
256.870442,277,7.1539,False,False
262.431464,284,7.297871,False,True
256.837986,277,7.450171,False,True
229.976205,248,7.577914,False,False
257.66669,278,7.750207,False,False
245.444458,264,7.906261,False,False
290.638189,314,8.077182,False,True
258.335204,279,8.23313,False,False
287.00612,309,8.392449,False,True
278.43663,301,8.543424,False,True
286.238664,311,8.697489,False,True
251.431711,271,8.830346,False,False
250.761752,268,13.038203,False,False
259.958292,278,13.195521,False,False
259.035746,278,13.375817,False,False
298.246185,323,13.554242,False,True
237.920917,255,13.736112,False,False
263.978629,284,13.908875,False,True
273.95506,292,14.05115,False,True
296.144987,320,14.206895,False,True
248.606056,267,14.348145,False,False
242.175971,259,14.477607,False,False
309.79763,336,14.64481,False,True
338.224822,365,14.81977,False,False
239.102542,256,14.942984,False,False
299.845436,321,15.100266,False,True
301.819015,325,19.126341,False,True
320.004635,342,19.340748,False,True
301.60895,323,19.512657,False,True
298.149508,322,19.674294,False,True
250.776323,270,19.83039,False,False
248.454535,264,19.980142,False,False
276.653809,298,20.150794,False,True
294.80448,318,20.358004,False,True
266.877931,286,20.538738,False,False
303.73334,329,20.7147,False,True
269.085477,288,20.859587,False,False
259.848746,281,21.003229,False,True
251.098082,269,21.138805,False,False
283.967574,306,21.292824,False,True
274.507652,294,25.297414,False,True
298.622399,323,25.461848,False,True
255.6487,275,25.600151,False,False
235.402157,253,25.771581,False,False
268.100201,289,25.928625,False,True
292.778901,315,26.100788,False,True
296.760028,320,26.261059,False,True
257.062627,275,26.396617,False,False
293.017063,314,26.580655,False,True
323.352482,350,26.774982,False,True
263.655398,282,26.92762,False,False
237.326765,255,27.05538,False,False
288.263342,311,27.232956,False,True
319.55254,342,27.444747,False,True
245.719691,263,31.461259,False,False
244.06801,261,31.603264,False,False
245.621434,263,31.737935,False,False
293.859321,316,31.901064,False,True
249.139263,267,32.035896,False,False
257.216997,278,32.205342,False,True
240.591543,257,32.34397,False,False
268.601323,288,32.507657,False,False
303.388196,326,32.708009,False,True
264.29624,281,32.864822,False,False
281.388638,302,33.053056,False,True
279.579815,298,33.224932,False,False
313.769036,337,33.41592,False,True
240.458938,258,33.551964,False,False
259.164748,277,37.484716,False,False
257.944429,274,37.627538,False,False
227.921937,243,37.750431,False,False
251.185218,270,37.882243,False,False
296.532733,317,38.036698,False,True
251.329033,269,38.169033,False,False
286.859086,309,38.322722,False,True
278.27345,299,38.472845,False,True
289.215746,311,38.628461,False,True
227.221893,241,38.748321,False,False
301.809726,324,38.923431,False,True
267.237549,286,39.10529,False,False
249.631206,267,39.238326,False,False
489.365323,508,39.488092,False,False
291.642903,314,43.493001,False,True
312.134788,336,43.68294,False,True
243.477001,261,43.819095,False,False
244.34697,260,43.952827,False,False
236.857967,253,44.083941,False,False
311.072311,335,44.251026,False,True
255.666681,272,44.382692,False,False
263.4628,281,44.544317,False,False
233.381773,249,44.698161,False,False
259.2683,278,44.842536,False,False
244.663262,260,44.996698,False,False
301.060231,325,45.276936,False,True
236.973579,253,45.573611,False,False
283.763847,305,45.801538,False,True
240.821544,257,49.802514,False,False
254.146211,271,49.979352,False,False
308.793175,330,50.170238,False,True
257.467121,275,50.322653,False,False
244.200701,262,50.458005,False,False
247.329113,264,50.621535,False,False
235.59464,250,50.763765,False,False
239.599793,255,50.888953,False,False
288.386318,310,51.047217,False,True
244.067045,262,51.217032,False,False
285.842569,308,51.387001,False,True
270.913595,292,51.530326,False,True
295.593117,319,51.694598,False,True
280.744446,303,51.842686,False,True
302.309609,325,55.829072,False,True
247.952884,265,55.981244,False,False
290.282745,313,56.136913,False,True
244.339281,261,56.271324,False,False
275.844217,298,56.422489,False,True
252.516777,269,56.56164,False,False
248.102536,266,56.692624,False,False
236.564369,253,56.815714,False,False
282.497225,304,56.96751,False,True
295.85958,317,57.168056,False,True
377.574157,412,57.376079,False,False
299.243331,321,57.544412,False,True
240.684662,257,57.673523,False,False
282.778639,306,57.823326,False,True
263.260893,281,61.80061,False,False
328.819535,354,61.979209,False,True
237.145662,253,62.103924,False,False
243.851278,259,62.238031,False,False
276.566842,297,62.417624,False,False
318.797107,341,62.597961,False,True
246.224569,263,62.729757,False,False
289.10375,309,62.877754,False,False
293.664279,316,63.031728,False,True
310.345467,335,63.195742,False,True
245.416708,262,63.322461,False,False
267.56784,286,63.465694,False,True
295.577145,317,63.629508,False,True
347.812857,375,63.815737,False,False
241.854613,259,67.776551,False,False
330.14367,352,68.007998,False,True
245.729054,262,68.147959,False,False
249.662697,267,68.286953,False,False
241.877388,258,68.422208,False,False
296.116343,318,68.584658,False,True
257.880213,276,68.726078,False,False
243.367913,261,68.861168,False,False
270.510265,291,69.003567,False,False
263.837117,282,69.147456,False,False
282.69071,304,69.298939,False,True
242.889306,258,69.428356,False,False
250.287784,267,69.563096,False,False
268.658346,289,69.71524,False,False
250.878702,269,73.700794,False,False
254.267059,272,73.845501,False,False
245.34587,262,73.9735,False,False
285.299595,306,74.129918,False,True
299.094314,320,74.294755,False,True
232.269534,245,74.422703,False,False
271.927092,292,74.56653,False,False
289.19468,309,74.716951,False,False
231.454396,248,74.83851,False,False
238.039587,254,74.962309,False,False
237.484931,253,75.086512,False,False
314.387595,339,75.256985,False,True
236.509984,252,75.381557,False,False
245.217107,263,75.507754,False,False
324.258063,347,75.690768,False,True
316.230272,341,79.755142,False,True
299.457721,322,79.956424,False,True
234.291538,250,80.124596,False,False
324.782549,350,80.318035,False,True
269.402492,289,80.465304,False,False
233.552831,249,80.592033,False,False
232.294979,249,80.726513,False,False
284.48866,305,80.884096,False,True
302.068022,324,81.05346,False,True
230.974929,247,81.178842,False,False
247.090698,264,81.309989,False,False
277.521369,298,81.47612,False,False
253.175663,271,81.613163,False,False
280.902567,301,81.762988,False,False
233.941641,250,85.663568,False,False
239.300747,255,85.810955,False,False
236.080187,251,85.942848,False,False
299.464033,323,86.11072,False,True
242.12095,258,86.24796,False,False
274.158771,295,86.400584,False,True
308.495284,331,86.608862,False,True
236.537899,253,86.749272,False,False
243.019258,259,86.894751,False,False
279.64362,299,87.078173,False,False
235.10671,251,87.213616,False,False
242.690133,258,87.342836,False,False
249.366595,266,87.473177,False,False
247.310565,264,87.609407,False,False
307.169607,331,87.771197,False,True
303.879362,329,91.814048,False,True
245.873559,264,91.958884,False,False
238.96557,255,92.086484,False,False
282.141743,304,92.242845,False,True
304.868364,328,92.432955,False,True
309.103699,334,92.601868,False,True
313.228877,335,92.774805,False,True
242.342036,258,92.90351,False,False
237.853825,254,93.028024,False,False
247.880745,265,93.162243,False,False
266.706759,285,93.300047,False,False
239.880281,257,93.426474,False,False
