#{"t_start": 1764628579.8160498, "env_id": "None"}
r,l,t
-1912.159919,35,0.675165
-135.236878,1,0.67581
-9423.985632,221,0.754042
-145.625037,1,0.754648
-147.681403,1,0.755073
-6129.212836,210,0.822857
-135.829224,1,0.823317
-151.446627,1,0.823706
-12582.075935,259,0.906795
-158.449206,1,0.907484
-151.603841,1,0.907946
-17124.577855,394,1.043397
-147.077056,1,1.04387
-137.424587,1,1.044264
-152.690074,1,1.044644
-152.809737,1,1.04503
-4505.702858,121,1.0847
-14867.640261,307,1.191255
-140.311681,1,1.191687
-13205.275056,287,1.286443
-148.423931,1,1.288445
-146.319327,1,1.288995
-142.36618,1,1.289424
-166.357463,1,1.289809
-5633.704739,143,1.335403
-158.3664,1,1.335898
-137.873528,1,1.336281
-8927.803467,263,2.287899
-148.918156,1,2.288354
-8485.188893,200,2.35733
-10331.444053,247,2.439878
-7604.86587,190,2.499235
-6829.589702,243,2.578512
-23360.725023,347,2.686629
-6639.862163,273,2.770102
-142.240271,1,2.770538
-152.090885,1,2.770905
-140.455844,1,2.771271
-155.261805,1,2.771629
-7632.931678,146,2.816294
-19290.186488,356,3.74295
-137.669464,1,3.743408
-4852.444327,235,3.817673
-158.350503,1,3.818146
-4384.916963,149,3.86644
-144.844663,1,3.86691
-4877.465077,92,3.895262
-146.897219,1,3.895681
-160.00566,1,3.896055
-5421.093029,118,3.933085
-150.501179,1,3.933491
-2163.864505,39,3.945522
-5522.193341,212,4.014509
-155.480592,1,4.014989
-146.946971,1,4.015384
-157.74618,1,4.015771
-13905.696433,284,4.105533
-140.261907,1,4.106114
-8665.150869,195,4.167701
-157.634837,1,4.168151
-163.92782,1,4.168524
-144.411825,1,4.168897
-151.908195,1,4.169279
-16705.578976,306,4.264102
-8394.557771,219,4.331089
-145.70151,1,4.331525
-4185.47403,168,5.342184
-148.331728,1,5.343042
-1095.476533,24,5.353052
-159.447507,1,5.353536
-12685.555815,218,5.42722
-1935.889661,61,5.447723
-9242.055357,207,5.518506
-4171.26033,158,5.571426
-6218.467057,241,5.648598
-159.938239,1,5.649104
-160.694417,1,5.649513
-146.811166,1,5.64993
-3848.206675,97,5.680018
-6463.693926,249,5.758943
-150.594802,1,5.759426
-143.755058,1,5.759971
-152.362956,1,5.760404
-143.22689,1,5.760815
-145.743968,1,5.761221
-141.950854,1,5.761618
-150.791102,1,5.762022
-147.775124,1,5.762413
-154.943581,1,5.762789
-16659.101219,343,5.86761
-2915.692591,107,5.900105
-12398.443232,240,6.805934
-147.2882,1,6.806409
-144.306839,1,6.806791
-10164.533409,205,6.869687
-144.488374,1,6.870133
-146.845582,1,6.87051
-150.164596,1,6.870882
-159.47,1,6.871256
-146.073606,1,6.871625
-4854.425823,172,6.926491
-130.84866,1,6.926946
-154.116291,1,6.927318
-2292.740823,58,6.944923
-10973.807595,272,7.030399
-13223.584078,263,7.115196
-9907.636694,185,7.178521
-10632.216471,199,7.249594
-152.535488,1,7.250047
-144.77058,1,7.250477
-149.949147,1,7.250886
-8557.890683,176,7.309177
-147.668138,1,7.309619
-10138.233727,384,7.433854
-130.797749,1,7.434325
-164.366079,1,7.434722
-3802.680679,65,8.34064
-149.103646,1,8.341135
-131.701606,1,8.341521
-4213.398772,74,8.366317
-138.645955,1,8.366798
-140.670006,1,8.36719
-131.618474,1,8.367592
-142.473264,1,8.367977
-13113.77635,256,8.447113
-157.555116,1,8.447581
-4730.12136,127,8.487153
-5945.515747,115,8.52304
-6265.333996,235,8.597777
-17108.751478,295,8.6893
-154.573029,1,8.689743
-147.943498,1,8.690128
-5065.240925,110,8.723934
-14235.174308,300,8.817353
-2314.19495,54,8.83466
-12675.043464,268,8.918013
-7967.520309,202,9.925023
-12936.331095,230,9.999686
-151.660943,1,10.000195
-200.802053,3,10.001263
-159.601333,1,10.001672
-16764.388133,288,10.095231
-10871.926944,235,10.170449
-17558.100569,280,10.261865
-150.500208,1,10.262311
-814.199044,12,10.266027
-154.018826,1,10.26641
-13638.163044,284,10.355925
-140.429628,1,10.356411
-152.956864,1,10.356798
-165.168886,1,10.357171
-158.397355,1,10.357549
-138.231506,1,10.357916
-139.091593,1,10.358294
-138.676036,1,10.358659
-21371.360168,339,10.464035
-11771.686344,235,10.539687
-150.0666,1,10.540147
