#{"t_start": 1764885876.066498, "env_id": "None"}
r,l,t,success,semi_success
-54.66497,308,0.96968,False,False
-101.853698,323,1.143283,False,False
-54.486459,291,1.297415,False,False
-88.406422,325,1.47275,False,False
-106.995638,324,1.641141,False,False
-52.983974,286,1.78725,False,False
-57.463392,298,4.061516,False,False
-54.074228,290,4.209622,False,False
-54.502075,298,4.367125,False,False
-105.702871,341,4.549396,False,False
-96.168334,328,4.719209,False,False
-103.581037,337,4.934579,False,False
-54.973965,289,5.128986,False,False
-45.687362,267,7.30213,False,False
-92.777743,335,7.493514,False,False
-55.086921,295,7.690954,False,False
-93.797165,329,7.88562,False,False
-54.0522,320,8.112406,False,False
-105.046858,340,8.339515,False,False
-99.274005,347,10.565788,False,False
-92.855195,340,10.777297,False,False
-107.291309,339,11.017404,False,False
-55.133749,297,11.206587,False,False
-90.969763,337,11.39996,False,False
-50.843429,286,11.579877,False,False
-99.682355,334,13.845547,False,False
-43.339305,312,14.064241,False,False
-56.655922,320,14.238761,False,False
-45.224082,296,14.406573,False,False
-105.600724,353,14.593824,False,False
-103.054936,332,14.76524,False,False
-86.751507,329,14.961847,False,False
-48.706788,312,17.214142,False,False
-106.841119,351,17.400492,False,False
-50.900789,313,17.564062,False,False
-51.450934,303,17.718082,False,False
-80.730524,340,17.903846,False,False
-107.297538,356,18.154341,False,False
-90.556014,339,20.533625,False,False
-49.076983,333,20.766989,False,False
-101.922448,364,20.966689,False,False
-101.125011,352,21.172902,False,False
-98.958075,355,21.375409,False,False
-86.347588,346,21.58186,False,False
-49.744736,326,23.8526,False,False
-47.350185,326,24.063282,False,False
-48.462326,345,24.327544,False,False
-88.778842,360,24.63388,False,False
-97.365449,388,24.861686,False,False
-100.639216,370,25.069355,False,False
-47.303447,305,27.281356,False,False
-47.373424,312,27.455737,False,False
-93.901727,375,27.650506,False,False
-50.169832,360,27.881584,False,False
-48.443648,329,28.070984,False,False
-45.204612,354,28.32256,False,False
-46.789652,347,30.66045,False,False
-48.667094,385,30.861498,False,False
-37.158016,355,31.046578,False,False
-45.706127,331,31.212944,False,False
-45.769217,310,31.431173,False,False
-45.566519,328,31.642265,False,False
-43.816107,391,33.98593,False,False
-38.334313,361,34.182246,False,False
-46.984123,285,34.337208,False,False
-40.452439,351,34.514293,False,False
-39.65112,372,34.707377,False,False
-44.039574,344,34.943317,False,False
-41.658996,373,37.27057,False,False
-37.040607,377,37.505074,False,False
-36.154057,351,37.696009,False,False
-34.181342,373,37.903958,False,False
-39.773229,334,38.123368,False,False
-39.758599,365,40.418784,False,False
-41.37658,332,40.644207,False,False
-36.906857,356,40.97222,False,False
-37.134405,347,41.175498,False,False
-37.687591,337,41.366372,False,False
-36.673852,352,41.554332,False,False
-34.983994,359,43.85305,False,False
-36.045435,352,44.079104,False,False
-36.46064,345,44.355004,False,False
-38.307149,337,44.554037,False,False
-36.049153,344,44.729832,False,False
-38.541239,344,44.909031,False,False
-35.329223,342,47.146959,False,False
-38.731725,353,47.334547,False,False
-35.647052,336,47.547195,False,False
-33.185136,355,47.753118,False,False
-33.703213,351,47.996306,False,False
-30.948637,369,48.320273,False,False
-33.598013,346,50.719777,False,False
-36.519426,342,50.970685,False,False
-32.586453,347,51.214651,False,False
-32.319231,351,51.483919,False,False
-36.270962,339,51.724404,False,False
-35.051433,341,51.939725,False,False
-35.151205,336,54.284045,False,False
-33.438086,347,54.493537,False,False
-35.135275,354,54.706709,False,False
-33.151331,347,54.98013,False,False
-36.695043,340,55.195529,False,False
-35.641979,343,55.398101,False,False
-35.48305,345,57.800225,False,False
-32.257261,355,58.05454,False,False
